threshold,tp,tn,fn,fp,ppv,sensitivity,specificity,accuracy,f1,mcc,pos,neg
0.42397691277030136,18.0,254.0,65.0,13.0,0.5806451612903226,0.21686746987951808,0.951310861423221,0.7771428571428571,0.3157894736842105,0.022251660784806546,31.0,319.0
0.41630243947570333,19.0,253.0,64.0,14.0,0.5757575757575758,0.2289156626506024,0.947565543071161,0.7771428571428571,0.3275862068965517,0.021098094972939165,33.0,317.0
0.4148030389961035,20.0,253.0,63.0,14.0,0.5882352941176471,0.24096385542168675,0.947565543071161,0.78,0.3418803418803419,0.02220451921822445,34.0,316.0
0.41471375416894984,20.0,252.0,63.0,15.0,0.5714285714285714,0.24096385542168675,0.9438202247191011,0.7771428571428571,0.3389830508474576,0.020099675125273008,35.0,315.0
0.40959256049083803,21.0,252.0,62.0,15.0,0.5833333333333334,0.25301204819277107,0.9438202247191011,0.78,0.35294117647058826,0.021110745241403408,36.0,314.0
0.400594896407907,21.0,251.0,62.0,16.0,0.5675675675675675,0.25301204819277107,0.9400749063670412,0.7771428571428571,0.35,0.019226873729337426,37.0,313.0
0.3918177137670533,22.0,249.0,61.0,18.0,0.55,0.26506024096385544,0.9325842696629213,0.7742857142857142,0.35772357723577236,0.016960287757210677,40.0,310.0
0.38460970080043344,23.0,248.0,60.0,19.0,0.5476190476190477,0.27710843373493976,0.9288389513108615,0.7742857142857142,0.368,0.016405016161879834,42.0,308.0
0.3834790183620129,24.0,248.0,59.0,19.0,0.5581395348837209,0.2891566265060241,0.9288389513108615,0.7771428571428571,0.38095238095238093,0.017161627916000642,43.0,307.0
0.38161126869533224,24.0,247.0,59.0,20.0,0.5454545454545454,0.2891566265060241,0.9250936329588015,0.7742857142857142,0.3779527559055118,0.01590443981144969,44.0,306.0
0.3796452777231851,25.0,246.0,58.0,21.0,0.5434782608695652,0.30120481927710846,0.9213483146067416,0.7742857142857142,0.3875968992248062,0.01545079050593817,46.0,304.0
0.36675254149760894,26.0,245.0,57.0,22.0,0.5416666666666666,0.3132530120481928,0.9176029962546817,0.7742857142857142,0.3969465648854962,0.015037723866805328,48.0,302.0
0.3665058205907282,27.0,245.0,56.0,22.0,0.5510204081632653,0.3253012048192771,0.9176029962546817,0.7771428571428571,0.4090909090909091,0.015660244143241537,49.0,301.0
0.36495246307296414,27.0,244.0,56.0,23.0,0.54,0.3253012048192771,0.9138576779026217,0.7742857142857142,0.40601503759398494,0.0146600063658003,50.0,300.0
0.36128672364595027,28.0,244.0,55.0,23.0,0.5490196078431373,0.3373493975903614,0.9138576779026217,0.7771428571428571,0.417910447761194,0.015246825320589935,51.0,299.0
0.3524114013471399,29.0,243.0,54.0,24.0,0.5471698113207547,0.3493975903614458,0.9101123595505618,0.7771428571428571,0.4264705882352941,0.014867873977850023,53.0,297.0
0.3169707051486602,30.0,238.0,53.0,29.0,0.5084745762711864,0.3614457831325301,0.8913857677902621,0.7657142857142857,0.4225352112676056,0.011600604363284747,59.0,291.0
0.31675158179522367,30.0,237.0,53.0,30.0,0.5,0.3614457831325301,0.8876404494382022,0.7628571428571429,0.4195804195804196,0.011001573526665082,60.0,290.0
0.3107877473367079,31.0,233.0,52.0,34.0,0.47692307692307695,0.37349397590361444,0.8726591760299626,0.7542857142857143,0.4189189189189189,0.009374847079667702,65.0,285.0
0.30900928158825725,31.0,232.0,52.0,35.0,0.4696969696969697,0.37349397590361444,0.8689138576779026,0.7514285714285714,0.4161073825503356,0.008938588837377547,66.0,284.0
0.2982415799469009,32.0,231.0,51.0,36.0,0.47058823529411764,0.3855421686746988,0.8651685393258427,0.7514285714285714,0.423841059602649,0.008893122074823087,68.0,282.0
0.29423930914062424,32.0,230.0,51.0,37.0,0.463768115942029,0.3855421686746988,0.8614232209737828,0.7485714285714286,0.42105263157894735,0.00849830466444708,69.0,281.0
0.28653748168444415,33.0,229.0,50.0,38.0,0.4647887323943662,0.39759036144578314,0.8576779026217228,0.7485714285714286,0.42857142857142855,0.008468351559307486,71.0,279.0
