threshold,tp,tn,fn,fp,ppv,sensitivity,specificity,accuracy,f1,mcc,pos,neg
0.6206317306353749,26.0,261.0,29.0,23.0,0.5306122448979592,0.4727272727272727,0.9190140845070423,0.8466076696165191,0.5,0.01963508226083424,49.0,290.0
0.6095500129303866,27.0,260.0,28.0,24.0,0.5294117647058824,0.4909090909090909,0.9154929577464789,0.8466076696165191,0.5094339622641509,0.019208165792024615,51.0,288.0
0.608976034177306,27.0,259.0,28.0,25.0,0.5192307692307693,0.4909090909090909,0.9119718309859155,0.8436578171091446,0.5046728971962616,0.018173347978758983,52.0,287.0
0.5877502987376281,28.0,257.0,27.0,27.0,0.509090909090909,0.509090909090909,0.9049295774647887,0.8407079646017699,0.509090909090909,0.016945066750514222,55.0,284.0
0.5830785179340169,28.0,256.0,27.0,28.0,0.5,0.509090909090909,0.9014084507042254,0.8377581120943953,0.5045045045045045,0.016118334293537734,56.0,283.0
0.5799755001997053,29.0,254.0,26.0,30.0,0.4915254237288136,0.5272727272727272,0.8943661971830986,0.8348082595870207,0.5087719298245614,0.015172578896306708,59.0,280.0
0.5768078725007411,29.0,253.0,26.0,31.0,0.48333333333333334,0.5272727272727272,0.8908450704225352,0.831858407079646,0.5043478260869565,0.014495743606358058,60.0,279.0
0.5022935616123241,30.0,248.0,25.0,36.0,0.45454545454545453,0.5454545454545454,0.8732394366197183,0.8200589970501475,0.49586776859504134,0.012158227184763585,66.0,273.0
0.4925458527911344,30.0,247.0,25.0,37.0,0.44776119402985076,0.5454545454545454,0.8697183098591549,0.8171091445427728,0.4918032786885246,0.011689409069827607,67.0,272.0
0.4819574320849711,31.0,242.0,24.0,42.0,0.4246575342465753,0.5636363636363636,0.852112676056338,0.8053097345132744,0.484375,0.010083350255255027,73.0,266.0
0.4789505351455706,31.0,241.0,24.0,43.0,0.4189189189189189,0.5636363636363636,0.8485915492957746,0.8023598820058997,0.4806201550387597,0.009739478928451591,74.0,265.0
0.46862348298233547,32.0,239.0,23.0,45.0,0.4155844155844156,0.5818181818181818,0.8415492957746479,0.799410029498525,0.48484848484848486,0.009448468089294079,77.0,262.0
0.4587878265470665,32.0,238.0,23.0,46.0,0.41025641025641024,0.5818181818181818,0.8380281690140845,0.7964601769911505,0.48120300751879697,0.00914551102244937,78.0,261.0
0.3723988607919171,33.0,229.0,22.0,55.0,0.375,0.6,0.8063380281690141,0.7728613569321534,0.46153846153846156,0.007243486343458337,88.0,251.0
0.36999489546694764,33.0,228.0,22.0,56.0,0.3707865168539326,0.6,0.8028169014084507,0.7699115044247787,0.4583333333333333,0.007043515779360728,89.0,250.0
0.36613064366477277,34.0,228.0,21.0,56.0,0.37777777777777777,0.6181818181818182,0.8028169014084507,0.7728613569321534,0.4689655172413793,0.007320425599177602,90.0,249.0
0.36579265160564367,34.0,227.0,21.0,57.0,0.37362637362637363,0.6181818181818182,0.7992957746478874,0.7699115044247787,0.4657534246575342,0.0071237955424050875,91.0,248.0
0.3587670591298674,35.0,227.0,20.0,57.0,0.3804347826086957,0.6363636363636364,0.7992957746478874,0.7728613569321534,0.47619047619047616,0.00739353542810728,92.0,247.0
0.3568294867181785,35.0,226.0,20.0,58.0,0.3763440860215054,0.6363636363636364,0.795774647887324,0.7699115044247787,0.47297297297297297,0.007200199355028807,93.0,246.0
0.32265778255116917,36.0,219.0,19.0,65.0,0.3564356435643564,0.6545454545454545,0.7711267605633803,0.7522123893805309,0.46153846153846156,0.006266958659200602,101.0,238.0
0.3043805799831436,36.0,218.0,19.0,66.0,0.35294117647058826,0.6545454545454545,0.7676056338028169,0.7492625368731564,0.4585987261146497,0.006118811623729915,102.0,237.0
0.27820875313390925,37.0,216.0,18.0,68.0,0.3523809523809524,0.6727272727272727,0.7605633802816901,0.7463126843657817,0.4625,0.0060634764045312045,105.0,234.0
0.2596519861372816,38.0,215.0,17.0,69.0,0.35514018691588783,0.6909090909090909,0.7570422535211268,0.7463126843657817,0.4691358024691358,0.006148243929687401,107.0,232.0
0.21202757106731915,39.0,207.0,16.0,77.0,0.33620689655172414,0.7090909090909091,0.7288732394366197,0.7256637168141593,0.45614035087719296,0.005373387744220144,116.0,223.0
0.19961629944424739,39.0,206.0,16.0,78.0,0.3333333333333333,0.7090909090909091,0.7253521126760564,0.7227138643067846,0.45348837209302323,0.005264750040824322,117.0,222.0
0.16565571624412967,40.0,198.0,15.0,86.0,0.31746031746031744,0.7272727272727273,0.6971830985915493,0.7020648967551623,0.4419889502762431,0.004677171229873585,126.0,213.0
0.16128576803497893,40.0,197.0,15.0,87.0,0.31496062992125984,0.7272727272727273,0.6936619718309859,0.6991150442477876,0.43956043956043955,0.00459015206333235,127.0,212.0
0.15788732741295214,41.0,196.0,14.0,88.0,0.3178294573643411,0.7454545454545455,0.6901408450704225,0.6991150442477876,0.44565217391304346,0.004683271780127938,129.0,210.0
0.15419314972624457,41.0,195.0,14.0,89.0,0.3153846153846154,0.7454545454545455,0.6866197183098591,0.696165191740413,0.44324324324324327,0.004598982841291061,130.0,209.0
0.13524940030559468,42.0,194.0,13.0,90.0,0.3181818181818182,0.7636363636363637,0.6830985915492958,0.696165191740413,0.44919786096256686,0.0046904921708208125,132.0,207.0
0.12810112459017972,42.0,193.0,13.0,91.0,0.3157894736842105,0.7636363636363637,0.6795774647887324,0.6932153392330384,0.44680851063829785,0.004608806397365783,133.0,206.0
0.07738425300247306,43.0,183.0,12.0,101.0,0.2986111111111111,0.7818181818181819,0.6443661971830986,0.6666666666666666,0.4321608040201005,0.004047095966038885,144.0,195.0
0.07558636398333557,43.0,182.0,12.0,102.0,0.296551724137931,0.7818181818181819,0.6408450704225352,0.6637168141592921,0.43,0.003982342552607789,145.0,194.0
0.06642875176409907,44.0,179.0,11.0,105.0,0.2953020134228188,0.8,0.6302816901408451,0.6578171091445427,0.43137254901960786,0.003950181824469424,149.0,190.0
0.06491848219104958,44.0,178.0,11.0,106.0,0.29333333333333333,0.8,0.6267605633802817,0.6548672566371682,0.4292682926829268,0.0038896674042465124,150.0,189.0
0.04482502444926159,45.0,171.0,10.0,113.0,0.2848101265822785,0.8181818181818182,0.602112676056338,0.6371681415929203,0.4225352112676056,0.0036446035035720523,158.0,181.0
